MDLSCN	Category
POLES EMF33-EMF33_Med2C_full	2C
POLES EMF33-EMF33_Med2C_limbio	2C
POLES EMF33-EMF33_Med2C_nobeccs	2C
POLES EMF33-EMF33_Med2C_nofuel	2C
POLES EMF33-EMF33_Med2C_none	2C
POLES EMF33-EMF33_WB2C_cost100	15C
POLES EMF33-EMF33_WB2C_full	15C
POLES EMF33-EMF33_WB2C_limbio	15C
POLES EMF33-EMF33_WB2C_nobeccs	15C
POLES EMF33-EMF33_WB2C_nofuel	15C
POLES EMF33-EMF33_WB2C_none	15C
POLES EMF33-EMF33_tax_hi_full	excluded
POLES EMF33-EMF33_tax_hi_none	excluded
POLES EMF33-EMF33_tax_lo_full	Above2C
POLES EMF33-EMF33_tax_lo_none	Above2C
REMIND 1.5-EMC_Def_100$	15C
REMIND 1.5-EMC_Def_30$	excluded
REMIND 1.5-EMC_LimSW_100$	15C
REMIND 1.5-EMC_LimSW_30$	Above2C
REMIND 1.5-EMC_NucPO_100$	15C
REMIND 1.5-EMC_NucPO_30$	excluded
REMIND 1.5-EMC_lowEI_100$	15C
REMIND 1.5-EMC_lowEI_30$	excluded
REMIND 1.7-ADVANCE_2020_1.5C-2100	15C
REMIND 1.7-ADVANCE_2020_Med2C	excluded
REMIND 1.7-ADVANCE_2020_WB2C	2C
REMIND 1.7-ADVANCE_2030_1.5C-2100	15C
REMIND 1.7-ADVANCE_2030_Med2C	Above2C
REMIND 1.7-ADVANCE_2030_Price1.5C	15C
REMIND 1.7-ADVANCE_2030_WB2C	excluded
REMIND 1.7-ADVANCE_INDC	Above2C
REMIND 1.7-ADVANCE_NoPolicy	Above2C
REMIND 1.7-ADVANCE_Reference	Above2C
REMIND 1.7-CEMICS-1.5-CDR12	15C
REMIND 1.7-CEMICS-1.5-CDR20	15C
REMIND 1.7-CEMICS-1.5-CDR8	15C
REMIND 1.7-CEMICS-2.0-CDR12	2C
REMIND 1.7-CEMICS-2.0-CDR20	excluded
REMIND 1.7-CEMICS-2.0-CDR8	2C
REMIND 1.7-CEMICS-Ref	Above2C
REMIND-MAgPIE 1.5-SSP1-19	15C
REMIND-MAgPIE 1.5-SSP1-26	excluded
REMIND-MAgPIE 1.5-SSP1-34	Above2C
REMIND-MAgPIE 1.5-SSP1-45	Above2C
REMIND-MAgPIE 1.5-SSP1-Baseline	Above2C
REMIND-MAgPIE 1.5-SSP2-19	15C
REMIND-MAgPIE 1.5-SSP2-26	excluded
REMIND-MAgPIE 1.5-SSP2-34	Above2C
REMIND-MAgPIE 1.5-SSP2-45	Above2C
REMIND-MAgPIE 1.5-SSP2-60	Above2C
REMIND-MAgPIE 1.5-SSP2-Baseline	Above2C
REMIND-MAgPIE 1.5-SSP5-19	15C
REMIND-MAgPIE 1.5-SSP5-26	Above2C
REMIND-MAgPIE 1.5-SSP5-34	Above2C
REMIND-MAgPIE 1.5-SSP5-45	Above2C
REMIND-MAgPIE 1.5-SSP5-60	Above2C
REMIND-MAgPIE 1.5-SSP5-Baseline	Above2C
REMIND-MAgPIE 1.7-3.0-CD-LINKS_INDCi	Above2C
REMIND-MAgPIE 1.7-3.0-CD-LINKS_NPi	Above2C
REMIND-MAgPIE 1.7-3.0-CD-LINKS_NPi2020_1000	2C
REMIND-MAgPIE 1.7-3.0-CD-LINKS_NPi2020_1600	excluded
REMIND-MAgPIE 1.7-3.0-CD-LINKS_NPi2020_400	15C
REMIND-MAgPIE 1.7-3.0-CD-LINKS_NoPolicy	Above2C
REMIND-MAgPIE 1.7-3.0-EMF33_1.5C_cost100	15C
REMIND-MAgPIE 1.7-3.0-EMF33_1.5C_full	15C
REMIND-MAgPIE 1.7-3.0-EMF33_1.5C_nofuel	15C
REMIND-MAgPIE 1.7-3.0-EMF33_Baseline	Above2C
REMIND-MAgPIE 1.7-3.0-EMF33_Med2C_cost100	Above2C
REMIND-MAgPIE 1.7-3.0-EMF33_Med2C_full	Above2C
REMIND-MAgPIE 1.7-3.0-EMF33_Med2C_limbio	excluded
REMIND-MAgPIE 1.7-3.0-EMF33_Med2C_nobeccs	Above2C
REMIND-MAgPIE 1.7-3.0-EMF33_Med2C_nofuel	Above2C
REMIND-MAgPIE 1.7-3.0-EMF33_Med2C_none	excluded
REMIND-MAgPIE 1.7-3.0-EMF33_WB2C_cost100	excluded
REMIND-MAgPIE 1.7-3.0-EMF33_WB2C_full	excluded
REMIND-MAgPIE 1.7-3.0-EMF33_WB2C_limbio	2C
REMIND-MAgPIE 1.7-3.0-EMF33_WB2C_nobeccs	2C
REMIND-MAgPIE 1.7-3.0-EMF33_WB2C_nofuel	2C
REMIND-MAgPIE 1.7-3.0-EMF33_WB2C_none	2C
REMIND-MAgPIE 1.7-3.0-EMF33_tax_hi_full	excluded
REMIND-MAgPIE 1.7-3.0-EMF33_tax_hi_none	Above2C
REMIND-MAgPIE 1.7-3.0-EMF33_tax_lo_full	Above2C
REMIND-MAgPIE 1.7-3.0-EMF33_tax_lo_none	Above2C
REMIND-MAgPIE 1.7-3.0-PEP_1p5C_full_NDC	15C
REMIND-MAgPIE 1.7-3.0-PEP_1p5C_full_eff	15C
REMIND-MAgPIE 1.7-3.0-PEP_1p5C_full_goodpractice	15C
REMIND-MAgPIE 1.7-3.0-PEP_1p5C_full_netzero	15C
REMIND-MAgPIE 1.7-3.0-PEP_1p5C_red_eff	15C
REMIND-MAgPIE 1.7-3.0-PEP_2C_full_NDC	excluded
REMIND-MAgPIE 1.7-3.0-PEP_2C_full_eff	2C
REMIND-MAgPIE 1.7-3.0-PEP_2C_full_goodpractice	excluded
REMIND-MAgPIE 1.7-3.0-PEP_2C_full_netzero	2C
REMIND-MAgPIE 1.7-3.0-PEP_2C_red_NDC	2C
REMIND-MAgPIE 1.7-3.0-PEP_2C_red_eff	2C
REMIND-MAgPIE 1.7-3.0-PEP_2C_red_goodpractice	2C
REMIND-MAgPIE 1.7-3.0-PEP_2C_red_netzero	2C
REMIND-MAgPIE 1.7-3.0-SMP_1p5C_Def	15C
REMIND-MAgPIE 1.7-3.0-SMP_1p5C_Sust	15C
REMIND-MAgPIE 1.7-3.0-SMP_1p5C_early	15C
REMIND-MAgPIE 1.7-3.0-SMP_1p5C_lifesty	15C
REMIND-MAgPIE 1.7-3.0-SMP_1p5C_regul	15C
REMIND-MAgPIE 1.7-3.0-SMP_2C_Def	2C
REMIND-MAgPIE 1.7-3.0-SMP_2C_Sust	15C
REMIND-MAgPIE 1.7-3.0-SMP_2C_early	2C
REMIND-MAgPIE 1.7-3.0-SMP_2C_lifesty	15C
REMIND-MAgPIE 1.7-3.0-SMP_2C_regul	15C
REMIND-MAgPIE 1.7-3.0-SMP_REF_Def	Above2C
REMIND-MAgPIE 1.7-3.0-SMP_REF_Sust	Above2C
Reference-CEDS	excluded
Reference-IEA Energy Statistics (r2017)	excluded
Shell World Energy Model 2018-Sky	excluded
WITCH-GLOBIOM 3.1-SSP1-19	15C
WITCH-GLOBIOM 3.1-SSP1-26	2C
WITCH-GLOBIOM 3.1-SSP1-34	Above2C
WITCH-GLOBIOM 3.1-SSP1-45	Above2C
WITCH-GLOBIOM 3.1-SSP1-Baseline	Above2C
WITCH-GLOBIOM 3.1-SSP2-26	2C
WITCH-GLOBIOM 3.1-SSP2-34	Above2C
WITCH-GLOBIOM 3.1-SSP2-45	Above2C
WITCH-GLOBIOM 3.1-SSP2-60	Above2C
WITCH-GLOBIOM 3.1-SSP2-Baseline	Above2C
WITCH-GLOBIOM 3.1-SSP3-34	Above2C
WITCH-GLOBIOM 3.1-SSP3-45	Above2C
WITCH-GLOBIOM 3.1-SSP3-60	Above2C
WITCH-GLOBIOM 3.1-SSP3-Baseline	Above2C
WITCH-GLOBIOM 3.1-SSP4-19	15C
WITCH-GLOBIOM 3.1-SSP4-26	2C
WITCH-GLOBIOM 3.1-SSP4-34	Above2C
WITCH-GLOBIOM 3.1-SSP4-45	Above2C
WITCH-GLOBIOM 3.1-SSP4-60	Above2C
WITCH-GLOBIOM 3.1-SSP4-Baseline	Above2C
WITCH-GLOBIOM 3.1-SSP5-34	Above2C
WITCH-GLOBIOM 3.1-SSP5-45	Above2C
WITCH-GLOBIOM 3.1-SSP5-60	Above2C
WITCH-GLOBIOM 3.1-SSP5-Baseline	Above2C
WITCH-GLOBIOM 4.2-ADVANCE_2020_1.5C-2100	15C
WITCH-GLOBIOM 4.2-ADVANCE_2020_Med2C	excluded
WITCH-GLOBIOM 4.2-ADVANCE_2020_WB2C	2C
WITCH-GLOBIOM 4.2-ADVANCE_2030_Med2C	excluded
WITCH-GLOBIOM 4.2-ADVANCE_2030_Price1.5C	2C
WITCH-GLOBIOM 4.2-ADVANCE_2030_WB2C	2C
WITCH-GLOBIOM 4.2-ADVANCE_INDC	Above2C
WITCH-GLOBIOM 4.2-ADVANCE_NoPolicy	Above2C
WITCH-GLOBIOM 4.2-ADVANCE_Reference	Above2C
WITCH-GLOBIOM 4.4-CD-LINKS_INDCi	Above2C
WITCH-GLOBIOM 4.4-CD-LINKS_NPi	Above2C
WITCH-GLOBIOM 4.4-CD-LINKS_NPi2020_1000	15C
WITCH-GLOBIOM 4.4-CD-LINKS_NPi2020_1600	2C
WITCH-GLOBIOM 4.4-CD-LINKS_NPi2020_400	15C
WITCH-GLOBIOM 4.4-CD-LINKS_NoPolicy	Above2C
